# OpenSignals Text File Format. Version 1
# {"00:07:80:65:E0:11": {"position": 0, "device": "biosignalsplux", "device name": "00:07:80:65:E0:11", "device connection": "00:07:80:65:E0:11", "sampling rate": 200, "resolution": [16, 16, 16], "firmware version": 775, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2025-9-19", "time": "10:3:15.790", "channels": [1, 2, 3], "sensor": ["RIP", "XYZ", "XYZ"], "label": ["CH1", "CH2", "CH3"], "column": ["nSeq", "DI", "CH1", "CH2", "CH3"], "special": [{"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}], "digital IO": [0, 1], "sleeve color": ["orange", "brown", ""]}}
# EndOfHeader
0	0	34572	32628	38180	
1	0	34544	32608	38220	
2	0	34516	32628	38216	
3	0	34488	32609	38236	
4	0	34460	32628	38225	
5	0	34432	32608	38253	
6	0	34404	32628	38212	
7	0	34376	32624	38232	
8	0	34348	32620	38228	
9	0	34317	32632	38200	
10	0	34288	32644	38253	
11	0	34260	32621	38232	
12	0	34236	32620	38224	
13	0	34208	32660	38220	
14	0	34176	32636	38228	
15	0	34140	32624	38208	
16	0	34124	32608	38188	
17	0	34096	32624	38228	
18	0	34068	32644	38192	
19	0	34040	32612	38220	
20	0	34008	32652	38208	
21	0	33976	32640	38217	
22	0	33948	32656	38272	
23	0	33922	32681	38237	
24	0	33892	32656	38236	
25	0	33860	32644	38220	
26	0	33832	32632	38208	
27	0	33801	32648	38224	
28	0	33772	32658	38232	
29	0	33752	32661	38192	
30	0	33712	32668	38256	
31	0	33688	32672	38212	
32	0	33656	32660	38216	
33	0	33624	32648	38216	
34	0	33600	32644	38216	
35	0	33561	32656	38196	
36	0	33536	32640	38268	
37	0	33508	32660	38208	
38	0	33472	32661	38216	
39	0	33448	32652	38236	
40	0	33416	32680	38228	
41	0	33380	32672	38220	
42	0	33352	32664	38220	
43	0	33320	32672	38212	
44	0	33296	32660	38232	
45	0	33256	32660	38240	
46	0	33236	32688	38208	
47	0	33201	32648	38220	
48	0	33169	32632	38216	
49	0	33136	32636	38244	
50	0	33108	32648	38208	
51	0	33080	32664	38200	
52	0	33056	32661	38244	
53	0	33016	32661	38236	
54	0	32988	32644	38236	
55	0	32952	32652	38240	
56	0	32928	32652	38212	
57	0	32897	32661	38244	
58	0	32864	32652	38224	
59	0	32834	32680	38272	
60	0	32812	32669	38254	
61	0	32784	32663	38244	
62	0	32748	32684	38245	
63	0	32728	32650	38232	
64	0	32688	32660	38229	
65	0	32664	32656	38204	
66	0	32636	32668	38224	
67	0	32608	32652	38208	
68	0	32584	32660	38204	
69	0	32552	32652	38201	
70	0	32524	32648	38204	
71	0	32496	32668	38224	
72	0	32468	32668	38192	
73	0	32440	32665	38240	
74	0	32409	32684	38253	
75	0	32388	32656	38237	
76	0	32356	32652	38232	
77	0	32332	32657	38220	
78	0	32300	32688	38224	
79	0	32284	32664	38224	
80	0	32252	32664	38220	
81	0	32232	32672	38220	
82	0	32192	32672	38220	
83	0	32180	32672	38220	
84	0	32152	32672	38216	
85	0	32120	32660	38220	
86	0	32100	32681	38208	
87	0	32076	32660	38192	
88	0	32056	32652	38216	
89	0	32032	32700	38200	
90	0	32004	32680	38240	
91	0	31976	32676	38245	
92	0	31952	32680	38222	
93	0	31928	32668	38225	
94	0	31916	32652	38236	
95	0	31889	32672	38224	
96	0	31864	32661	38220	
97	0	31845	32664	38204	
98	0	31828	32674	38221	
99	0	31804	32669	38209	
100	0	31776	32664	38208	
101	0	31764	32652	38196	
102	0	31744	32664	38228	
103	0	31712	32668	38204	
104	0	31696	32696	38216	
105	0	31676	32684	38240	
106	0	31656	32665	38228	
107	0	31636	32673	38220	
108	0	31616	32696	38216	
109	0	31600	32680	38253	
110	0	31576	32672	38220	
111	0	31561	32652	38212	
112	0	31552	32680	38192	
113	0	31524	32661	38236	
114	0	31512	32668	38224	
115	0	31489	32672	38212	
116	0	31472	32660	38216	
117	0	31453	32656	38240	
118	0	31438	32656	38220	
119	0	31418	32672	38220	
120	0	31408	32688	38220	
121	0	31397	32672	38228	
122	0	31380	32660	38252	
123	0	31365	32656	38224	
