# OpenSignals Text File Format. Version 1
# {"00:07:80:65:E0:11": {"position": 0, "device": "biosignalsplux", "device name": "00:07:80:65:E0:11", "device connection": "00:07:80:65:E0:11", "sampling rate": 200, "resolution": [16, 16, 16], "firmware version": 775, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2025-9-19", "time": "9:57:52.721", "channels": [1, 2, 3], "sensor": ["RIP", "XYZ", "XYZ"], "label": ["CH1", "CH2", "CH3"], "column": ["nSeq", "DI", "CH1", "CH2", "CH3"], "special": [{"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}], "digital IO": [0, 1], "sleeve color": ["orange", "brown", ""]}}
# EndOfHeader
0	0	31584	32560	38128	
1	0	31584	32552	38116	
2	0	31596	32540	38124	
3	0	31613	32548	38158	
4	0	31624	32532	38172	
5	0	31636	32516	38116	
6	0	31641	32524	38144	
7	0	31660	32541	38136	
8	0	31668	32548	38152	
9	0	31680	32544	38136	
10	0	31700	32548	38144	
11	0	31706	32532	38148	
12	0	31718	32520	38164	
13	0	31733	32541	38152	
14	0	31745	32544	38132	
15	0	31768	32544	38140	
16	0	31780	32534	38124	
17	0	31793	32557	38120	
18	0	31808	32528	38168	
19	0	31824	32524	38136	
20	0	31836	32528	38136	
21	0	31856	32561	38156	
22	0	31872	32552	38144	
23	0	31890	32536	38132	
24	0	31904	32552	38144	
25	0	31921	32532	38120	
26	0	31944	32522	38144	
27	0	31956	32517	38116	
28	0	31976	32524	38120	
29	0	32000	32540	38132	
30	0	32016	32556	38124	
31	0	32032	32528	38166	
32	0	32052	32528	38140	
33	0	32068	32529	38160	
34	0	32096	32540	38200	
35	0	32112	32532	38160	
36	0	32141	32530	38172	
37	0	32156	32528	38152	
38	0	32180	32516	38128	
39	0	32205	32536	38128	
40	0	32233	32529	38112	
41	0	32256	32496	38132	
42	0	32276	32524	38124	
43	0	32304	32528	38144	
44	0	32328	32532	38136	
45	0	32356	32504	38138	
46	0	32376	32553	38140	
47	0	32408	32512	38132	
48	0	32440	32512	38148	
49	0	32460	32520	38156	
50	0	32493	32520	38136	
51	0	32525	32524	38144	
52	0	32548	32520	38161	
53	0	32580	32508	38168	
54	0	32612	32496	38152	
55	0	32641	32500	38152	
56	0	32672	32544	38136	
57	0	32696	32540	38137	
58	0	32732	32504	38160	
59	0	32772	32500	38116	
60	0	32796	32512	38132	
61	0	32832	32524	38144	
62	0	32864	32513	38124	
